country,year,month,temperature_2m,cloudcover,weather_description_mode
Albania,2023,2023-01,8.545430107526881,51.071236559139784,Clear sky
Albania,2023,2023-02,7.230357142857143,36.648809523809526,Clear sky
Albania,2023,2023-03,11.236827956989249,54.905913978494624,Clear sky
Albania,2023,2023-04,12.487083333333334,58.83611111111111,Overcast
Albania,2023,2023-05,18.523118279569893,58.05510752688172,Overcast
Albania,2023,2023-06,22.61847222222222,47.515277777777776,Clear sky
Albania,2023,2023-07,27.19529569892473,7.665322580645161,Clear sky
Albania,2023,2023-08,25.50779569892473,21.017473118279568,Clear sky
Albania,2023,2023-09,23.052916666666665,37.43055555555556,Clear sky
Albania,2023,2023-10,19.425672043010753,34.67204301075269,Clear sky
Albania,2023,2023-11,13.066666666666666,61.06111111111111,Overcast
Albania,2023,2023-12,9.711290322580645,55.791666666666664,Overcast
Albania,2024,2024-01,7.693682795698925,50.236559139784944,Clear sky
Albania,2024,2024-02,10.372557471264368,48.43103448275862,Clear sky
Albania,2024,2024-03,12.34233870967742,55.348118279569896,Clear sky
Albania,2024,2024-04,15.85625,48.24027777777778,Clear sky
Albania,2024,2024-05,18.868279569892472,55.68682795698925,Overcast
Albania,2024,2024-06,25.13638888888889,25.369444444444444,Clear sky
Albania,2024,2024-07,28.220698924731185,11.60752688172043,Clear sky
Albania,2024,2024-08,27.978897849462363,20.010752688172044,Clear sky
Albania,2024,2024-09,21.5275,45.27777777777778,Clear sky
Albania,2024,2024-10,17.81827956989247,44.58736559139785,Clear sky
Albania,2024,2024-11,11.240833333333333,47.37777777777778,Clear sky
Albania,2024,2024-12,7.740994623655914,53.04435483870968,Clear sky
Albania,2025,2025-01,9.191935483870967,58.928763440860216,Overcast
Albania,2025,2025-02,7.942261904761905,53.830357142857146,Clear sky
Albania,2025,2025-03,12.378494623655914,61.96370967741935,Overcast
Albania,2025,2025-04,13.997083333333332,47.02777777777778,Clear sky
Albania,2025,2025-05,17.71518817204301,46.36290322580645,Clear sky
Albania,2025,2025-06,25.426388888888887,8.890277777777778,Clear sky
Albania,2025,2025-07,27.15967741935484,8.125,Clear sky
Albania,2025,2025-08,25.784005376344084,16.989247311827956,Clear sky
Albania,2025,2025-09,22.210277777777776,29.733333333333334,Clear sky
Albania,2025,2025-10,15.302956989247312,55.71370967741935,Clear sky
Albania,2025,2025-11,15.027777777777779,32.020833333333336,Clear sky
Andorra,2023,2023-01,2.2389784946236557,67.86559139784946,Overcast
Andorra,2023,2023-02,4.206101190476191,41.267857142857146,Clear sky
Andorra,2023,2023-03,8.339247311827956,65.01478494623656,Overcast
Andorra,2023,2023-04,10.331944444444444,72.35833333333333,Overcast
Andorra,2023,2023-05,12.305913978494624,67.5524193548387,Overcast
Andorra,2023,2023-06,17.57611111111111,62.206944444444446,Overcast
Andorra,2023,2023-07,21.50779569892473,31.29032258064516,Clear sky
Andorra,2023,2023-08,21.313440860215056,34.57392473118279,Clear sky
Andorra,2023,2023-09,17.976666666666667,42.7625,Clear sky
Andorra,2023,2023-10,14.400806451612905,54.81720430107527,Clear sky
Andorra,2023,2023-11,8.088194444444444,69.09444444444445,Overcast
Andorra,2023,2023-12,5.671102150537634,58.538978494623656,Overcast
Andorra,2024,2024-01,5.309139784946237,65.15322580645162,Overcast
Andorra,2024,2024-02,6.448563218390804,68.46120689655173,Overcast
Andorra,2024,2024-03,6.545295698924731,73.54569892473118,Overcast
Andorra,2024,2024-04,8.77625,67.02916666666667,Overcast
Andorra,2024,2024-05,11.850268817204302,58.64381720430107,Overcast
Andorra,2024,2024-06,16.880555555555556,56.40277777777778,Overcast
Andorra,2024,2024-07,21.3625,30.239247311827956,Clear sky
Andorra,2024,2024-08,21.695833333333333,33.344086021505376,Clear sky
Andorra,2024,2024-09,13.757361111111111,57.7625,Clear sky
Andorra,2024,2024-10,12.340860215053764,75.19220430107526,Overcast
Andorra,2024,2024-11,8.226111111111111,55.96388888888889,Overcast
Andorra,2024,2024-12,4.109811827956989,58.67204301075269,Clear sky
Andorra,2025,2025-01,3.954569892473118,60.596774193548384,Overcast
Andorra,2025,2025-02,5.069196428571429,62.967261904761905,Overcast
Andorra,2025,2025-03,4.773790322580645,76.98521505376344,Overcast
Andorra,2025,2025-04,9.594583333333334,65.91527777777777,Overcast
Andorra,2025,2025-05,12.863709677419354,57.604838709677416,Overcast
Andorra,2025,2025-06,21.69361111111111,39.74305555555556,Clear sky
Andorra,2025,2025-07,19.893413978494625,35.99596774193548,Clear sky
Andorra,2025,2025-08,21.108198924731184,37.70295698924731,Clear sky
Andorra,2025,2025-09,15.241805555555556,51.480555555555554,Clear sky
Andorra,2025,2025-10,12.078763440860216,53.73252688172043,Overcast
Andorra,2025,2025-11,10.04861111111111,63.40972222222222,Overcast
Austria,2023,2023-01,3.533467741935484,85.93951612903226,Overcast
Austria,2023,2023-02,3.992113095238095,62.47470238095238,Overcast
Austria,2023,2023-03,7.624327956989247,74.27284946236558,Overcast
Austria,2023,2023-04,8.733611111111111,74.88055555555556,Overcast
Austria,2023,2023-05,14.50524193548387,66.74596774193549,Overcast
Austria,2023,2023-06,19.70611111111111,54.165277777777774,Clear sky
Austria,2023,2023-07,23.42311827956989,51.56720430107527,Clear sky
Austria,2023,2023-08,21.741532258064517,50.06182795698925,Clear sky
Austria,2023,2023-09,19.855694444444445,36.645833333333336,Clear sky
Austria,2023,2023-10,14.583870967741936,69.76612903225806,Overcast
Austria,2023,2023-11,6.795833333333333,66.0875,Overcast
Austria,2023,2023-12,3.872715053763441,75.5725806451613,Overcast
