country,year,month,pm2_5,pm10,nitrogen_dioxide,ozone
Albania,2023,2023-01,15.248387096774193,16.620026881720428,9.770430107526881,50.649193548387096
Albania,2023,2023-02,17.179017857142856,21.602678571428573,9.893303571428572,65.11458333333333
Albania,2023,2023-03,13.54260752688172,16.536693548387095,8.994220430107527,68.7258064516129
Albania,2023,2023-04,12.596527777777778,15.307777777777778,7.471666666666668,70.70694444444445
Albania,2023,2023-05,11.888440860215054,15.496639784946236,6.962903225806451,65.88306451612904
Albania,2023,2023-06,13.193055555555556,17.02,7.9631944444444445,69.37083333333334
Albania,2023,2023-07,13.380510752688172,21.566801075268817,6.947311827956989,84.78360215053763
Albania,2023,2023-08,12.715591397849462,17.036827956989246,7.105510752688172,78.10887096774194
Albania,2023,2023-09,13.71361111111111,20.565555555555555,8.795555555555556,68.62361111111112
Albania,2023,2023-10,13.074059139784946,20.425940860215054,9.027016129032258,61.321236559139784
Albania,2023,2023-11,9.164583333333333,13.24638888888889,9.510416666666666,54.35138888888889
Albania,2023,2023-12,15.390591397849462,18.973655913978494,12.72016129032258,45.87096774193548
Albania,2024,2024-01,10.834274193548387,12.857123655913979,9.513037634408603,57.54704301075269
Albania,2024,2024-02,14.46551724137931,17.84655172413793,9.844971264367816,62.84770114942529
Albania,2024,2024-03,12.705645161290322,19.766666666666666,8.158333333333333,72.19086021505376
Albania,2024,2024-04,11.262916666666667,16.420555555555556,8.09388888888889,75.025
Albania,2024,2024-05,12.864112903225806,22.523790322580645,6.913172043010753,69.75537634408602
Albania,2024,2024-06,12.599722222222221,21.48916666666667,6.927916666666667,79.875
Albania,2024,2024-07,10.740456989247312,14.641935483870968,7.131989247311828,90.68010752688173
Albania,2024,2024-08,10.736424731182796,13.868682795698923,7.546774193548387,88.26344086021506
Albania,2024,2024-09,9.2125,12.428472222222222,8.456111111111111,69.38055555555556
Albania,2024,2024-10,13.398790322580647,16.72217741935484,11.371908602150539,60.24596774193548
Albania,2024,2024-11,11.535972222222222,14.05,11.525694444444444,51.25277777777778
Albania,2024,2024-12,11.886962365591398,13.600806451612904,11.836290322580647,51.899193548387096
Albania,2025,2025-01,12.651075268817204,15.533064516129032,10.560618279569892,58.86290322580645
Albania,2025,2025-02,15.99717261904762,18.412946428571427,10.411011904761905,61.697916666666664
Albania,2025,2025-03,14.298924731182796,20.59731182795699,8.975537634408603,70.58198924731182
Albania,2025,2025-04,11.129166666666666,14.467916666666666,7.97486111111111,69.77638888888889
Albania,2025,2025-05,8.565994623655914,11.268951612903226,6.009543010752688,74.20698924731182
Albania,2025,2025-06,11.403888888888888,15.428472222222222,7.074305555555555,83.10694444444445
Albania,2025,2025-07,9.963575268817204,14.023252688172041,6.726747311827957,86.90322580645162
Albania,2025,2025-08,11.372849462365592,14.160752688172044,7.471370967741935,85.25
Albania,2025,2025-09,9.783888888888889,12.81861111111111,9.134861111111112,69.9375
Albania,2025,2025-10,7.685618279569893,10.033736559139786,8.915725806451613,59.13172043010753
Albania,2025,2025-11,11.93611111111111,16.547916666666666,11.080555555555556,48.24305555555556
Andorra,2023,2023-01,3.4061827956989243,7.378360215053763,2.980779569892473,59.346774193548384
Andorra,2023,2023-02,5.751339285714286,12.153125,3.2395833333333335,70.69047619047619
Andorra,2023,2023-03,4.95739247311828,9.33010752688172,3.024193548387097,70.3991935483871
Andorra,2023,2023-04,4.015416666666667,7.779027777777777,2.0825,76.30694444444444
Andorra,2023,2023-05,4.8625,9.388440860215054,1.9174731182795697,76.77688172043011
Andorra,2023,2023-06,6.001944444444444,10.429722222222221,1.9865277777777777,73.7611111111111
Andorra,2023,2023-07,6.531989247311828,16.04986559139785,2.246505376344086,70.59274193548387
Andorra,2023,2023-08,5.814247311827957,12.777150537634409,2.1016129032258064,74.19623655913979
Andorra,2023,2023-09,5.875555555555555,13.40736111111111,2.6219444444444444,68.69583333333334
Andorra,2023,2023-10,4.768817204301075,9.421639784946237,2.574327956989247,61.64650537634409
Andorra,2023,2023-11,2.3318055555555555,5.180694444444445,2.785,54.24861111111111
Andorra,2023,2023-12,2.7327956989247313,5.677956989247312,3.344758064516129,60.204301075268816
Andorra,2024,2024-01,1.8016129032258066,2.5243279569892474,0.480241935483871,62.07258064516129
Andorra,2024,2024-02,2.152586206896552,3.7163793103448275,0.4791666666666667,66.67241379310344
Andorra,2024,2024-03,3.6080645161290326,8.803629032258064,0.47795698924731184,71.84543010752688
Andorra,2024,2024-04,3.7302777777777782,9.381805555555555,0.38930555555555557,76.53888888888889
Andorra,2024,2024-05,2.4913978494623654,3.497311827956989,0.4225806451612903,70.89516129032258
Andorra,2024,2024-06,4.008055555555556,7.842638888888889,0.5449999999999999,68.57916666666667
Andorra,2024,2024-07,4.192069892473119,8.169623655913979,0.55497311827957,68.5524193548387
Andorra,2024,2024-08,5.433736559139785,8.27016129032258,0.6434139784946237,70.37096774193549
Andorra,2024,2024-09,2.50625,3.6980555555555554,0.5120833333333333,64.40416666666667
Andorra,2024,2024-10,3.0331989247311824,6.373790322580645,0.5499999999999999,57.10215053763441
Andorra,2024,2024-11,3.799444444444444,8.210555555555556,0.5506944444444445,61.31944444444444
Andorra,2024,2024-12,1.7262096774193547,3.256048387096774,0.5196236559139785,68.31048387096774
Andorra,2025,2025-01,1.5279569892473117,2.261827956989247,0.44327956989247314,71.65456989247312
Andorra,2025,2025-02,2.8061011904761903,4.8913690476190474,0.42544642857142856,74.14285714285714
Andorra,2025,2025-03,3.249193548387097,5.830779569892473,0.5030913978494623,75.20161290322581
